id,pIC50_mean,pIC50_median,smiles,pic50,assay_desc,assay_chembl_id,target_chembl_id,standard_value,standard_units,standard_type,human_agonists,pIC50
CHEMBL4439746,5.886056647693163,5.886056647693163,Clc1ccc(-c2nc3occn3c2/C=N/OCc2ccc(Cl)c(Cl)c2)cc1,5.89,Agonist activity at human PXR transfected in human HepG2 cells cotransfected with CYP3A4 incubated for 23 hrs by luciferase reporter gene assay,CHEMBL4399411,CHEMBL3401,1300.0,nM,EC50,True,5.886056647693163
CHEMBL4444000,5.508638306165727,5.508638306165727,O=S(=O)(Nc1cscn1)c1cc(Cl)c(NCc2c(F)cccc2CN2CCC2)cc1F,5.51,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,3100.0,nM,EC50,True,5.508638306165727
CHEMBL4445144,5.774690718274137,5.774690718274137,COc1ccc(F)c([C@H](C)Nc2cc(F)c(S(=O)(=O)Nc3cscn3)cc2Cl)c1,5.78,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,1680.0,nM,EC50,True,5.774690718274137
CHEMBL4448084,5.318758762624412,5.318758762624412,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)cc1Cl,5.32,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,4800.0,nM,EC50,True,5.318758762624412
CHEMBL4449508,5.698970004336019,5.698970004336019,FC(F)(F)c1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1,5.7,Agonist activity at human PXR transfected in human HepG2 cells cotransfected with CYP3A4 incubated for 23 hrs by luciferase reporter gene assay,CHEMBL4399411,CHEMBL3401,2000.0,nM,EC50,True,5.698970004336019
CHEMBL4455701,5.443697499232712,5.443697499232712,CC1(C)CCC(C)(C)c2cc(-c3nc4sccn4c3/C=N/OCc3ccc(Cl)c(Cl)c3)ccc21,5.44,Agonist activity at human PXR transfected in human HepG2 cells cotransfected with CYP3A4 incubated for 23 hrs by luciferase reporter gene assay,CHEMBL4399411,CHEMBL3401,3600.0,nM,EC50,True,5.443697499232712
CHEMBL4457973,5.522878745280337,5.522878745280337,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2nccs2)cc1Cl)c1cccnc1,5.52,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,3000.0,nM,EC50,True,5.522878745280337
CHEMBL4459170,6.200659450546418,6.200659450546418,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1cc(C#N)ccc1F,6.2,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,630.0,nM,EC50,True,6.200659450546418
CHEMBL4460028,4.928117992693875,4.928117992693875,CC1(C)CCN1Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1,4.93,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,11800.0,nM,EC50,True,4.928117992693875
CHEMBL4465050,5.229147988357856,5.229147988357856,Clc1ccc(CO/N=C/c2c(-c3ccc4ccccc4c3)nc3occn23)cc1Cl,5.23,Agonist activity at human PXR transfected in human HepG2 cells cotransfected with CYP3A4 incubated for 23 hrs by luciferase reporter gene assay,CHEMBL4399411,CHEMBL3401,5900.0,nM,EC50,True,5.229147988357856
CHEMBL4466858,6.6020599913279625,6.6020599913279625,C[C@H](Nc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)c1ccccc1F,6.6,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,250.0,nM,EC50,True,6.6020599913279625
CHEMBL4471825,5.026872146400302,5.026872146400302,CN(Cc1cccc(F)c1CNc1cc(F)c(S(=O)(=O)Nc2cscn2)c(F)c1)C(C)(C)C,5.03,Agonist activity at PXR in human DPX2 cells after 24 hrs by luciferase reporter gene assay,CHEMBL4415866,CHEMBL3401,9400.0,nM,EC50,True,5.026872146400302
CHEMBL4472508,5.096910013008056,5.096910013008056,CC(C)(C[C@H]1CN(S(=O)(=O)c2cccc(C(F)(F)F)c2)c2cc(-c3cc(F)cc(OC(F)F)c3)ccc2O1)C(=O)O,5.1,Agonist activity at human PXR-gamma expressed in HEK293 cells assessed as transcriptional activity in presence of ursolic acid by Gal4-luciferase reporter assay,CHEMBL4839622,CHEMBL3401,8000.0,nM,EC50,True,5.096910013008056
