Smiles,pIC50
CC1=NC2=CN=C3C=C(F)C(C4=CC=C(OC5=NC=CC=N5)C=C4Cl)=CC3=C2N1[C@H]1CC[C@](N)(CC#N)CC1,4.92
COCCOC1CCN(C2=CC(C)=C3NC(C4=C(NC[C@@H](O)C5=CC=CC(Cl)=C5)C=CNC4=O)=NC3=C2)CC1,9.05
CC(C)C[C@H](C=O)NC(=O)[C@@H](NS(=O)(=O)C1=CC=C(F)C=C1)C(C)C,4.09
FC1=CC=C2SC3=C(CCN(CC4=CC=CN=C4)C3)C2=C1,5.1
COC1=CC(OC)=C(C(=O)C(C)=O)C=C1OC,4.13
NC1=CC(CC2=NN(CC3=CC=CC(CC4=CC=CC=C4)=C3)C=C2)=C2NN=NC2=N1,7.43
N[C@@H](CC(=O)N1CCN(C(=O)C2=CC=C(O)C=C2)CC1)CC1=CC(F)=C(F)C=C1F,6.0
CC1=C(CCOC2=CC=CC(C[C@@H]3C(=O)N(C4=CC=C(C(C)(C)C)C=C4)[C@@H]3C(=O)O)=C2)N=C(C2=CC=C(Cl)C=C2)O1,5.33
CCN(CC)C1=CC=C2C=C(C(=O)NCC(O)(CN3C=CN=C3)C3=CC=C(Cl)C=C3Cl)C(=O)OC2=C1,6.9
COCCCC1=CC(CN(C(=O)[C@H]2CNCC[C@]2(O)C2=CC=C(F)C(F)=C2)C2CC2)=CC(OCCOC)=C1,6.05
CC1=CC=C(CN2C(C3CNCCS3)=NC3=CC=CC=C32)C=C1,5.083333333333333
CCC1=NC(N)=NC(N)=C1C1=CC=C2CCCN(CCCCC(=O)OC)C2=C1,4.92
COC1=CC=CC=C1N1CCN(C(=O)C2=NN(C)C(C3=CC=C(Cl)C=C3)=C2)CC1,4.7
CCS(=O)(=O)N1CCN(C2=CC=C(OC[C@@H]3CO[C@@](CN4C=CN=C4)(C4=CC=C(Cl)C=C4Cl)O3)C=C2)CC1,6.79
COC1=CN=CC(C2=CC(NC(C)=O)=NC(N3N=C(C)C=C3C)=N2)=C1,4.75
CCOC(=O)C1=C2N=C3CCCC(=O)C3C(C3=CC=C(SC4=NC5=C(F)C(F)=C(F)C=C5N4)O3)C2=CN1,4.64
C/C(CN(C[C@H]1CC2=CC=CC=C2CN1)[C@H]1CCCC2=CC=CN=C21)=C(\F)CN,4.89
CC1=CC=C(N(C)C(=O)C2=C(C)ON=C2C2=CC=CC=C2Cl)C=C1Cl,5.9
CCO[C@@H]([C@H]1C[C@@H](C)[C@H]2[C@H](O1)[C@H](O)[C@@]1(C)[C@@H]3CC[C@H]4C(C)(C)[C@@H](O[C@H]5CN(CC6CN(CCO)C6)CCO5)CC[C@@]45C[C@@]35CC[C@]21C)C(C)(C)O,4.77
CC1=NNC(NC2=CC(C)=C(C#N)C(NCCOC3=CC=CC=C3F)=N2)=C1,5.8
COC1=CC=CC(CNC(=O)C2=CC=C(C3=CC=NC=C3)C=C2)=C1,6.07
CC1=CC(N2CCC(N3CCCC3)CC2)=CC2=C1N=C(C1=C(NC[C@@H](O)C3=CC=CC(Cl)=C3)C=CNC1=O)N2,8.35
CC1=CC2=C(F)C(OC3=NC=NN4C=C(OCCCS(C)(=O)=O)C(C)=C34)=CC=C2N1,4.77
OC(CN1C=NN=N1)(C1=CC=C(F)C=C1F)C(F)(F)C1=CC=C(C#CC2=CC=C(NCC(F)(F)F)C=C2)C=N1,5.0
N[C@H]1CC[C@H](CCNC2=CC(F)=C(S(=O)(=O)NC3=NC=CS3)C=C2Cl)CC1,5.05
CC1=CC=C(C(=O)N2C[C@@H](C)OC[C@H]2CC2=CC(C3=NC=CC=N3)=CC=C2F)C(N2N=CC=N2)=C1,4.51
CC1=NSC(C2=NN=C3[C@@H](C)N(C(=O)C4=CC=CC=C4)CCN23)=N1,4.51
COC(=O)NC1=CC(C2=CC=C(OC[C@@](C)(N)CC(C)C)C(C(F)(F)F)=C2)=CC=N1,5.16
C[C@@H](OC1=C(C(N)=O)SC(N2C=NC3=CC(C4=CC=NC(NCCN(C)C)=C4)=CC=C32)=C1)C1=CC=CC=C1C(F)(F)F,5.335
COC(=O)C1CCN(C(=O)C2=CC=C3N=C(N)SC3=C2)CC1,5.0
COCC1=NC2=CN=C3C=C(C4=C(C)ON=C4C)C(OC[C@H]4CCNC4)=CC3=C2N1[C@H](C)C1=CC=CC=C1,5.6
COCC(=O)N[C@@H](CC1=CC=CC(C2=NC=CS2)=C1)[C@H](O)CN[C@H]1CC2(CCC2)OC2=NC=C(CC(C)(C)C)C=C21,7.0
CC(C)C[C@](C)(N)COC1=CC=C(C2=CC=NC(C(F)F)=C2)C=C1C(F)F,4.8
CCC1=C(C(=O)NCC2=CC=C(N3CCN(C4=CC=C(OC(F)(F)F)C=C4)CC3)C=C2)N2C=C(Cl)C=CC2=N1,4.94
CC(C)C[C@H](NC(=O)CCCN)C1=CC(F)=CC=C1N1CCN(C(=O)[C@@H](CC2=CC=C(Cl)C=C2Cl)N2CCCC2=O)CC1,4.82
O=C(N[C@@H](CC1=CNC2=CC=C(O)C=C12)C1=CSC=N1)C1=CC=C2C(=C1)N=C(C1=COC=C1)N2C1CCCCC1,6.380000000000001
COC(=O)NCC1=CC=C(Cl)C(CN(C(=O)[C@H]2CNCC[C@@H]2C2=CC=C(OCCOC3=C(Cl)C=C(C)C=C3Cl)C=C2)C2CC2)=C1,5.325
COC1=CC([C@@H]2C3=CC4=C(C=C3[C@H](O)[C@H]3COC(=O)[C@H]23)OCO4)=CC(OC)=C1OC,6.22
C1=CC=C(CN2N=NN=C2C(C2=CC=C3OC=CC3=C2)N2CCCN(C3CCC3)CC2)C=C1,5.62
O=C(CN1C(=O)OC2=CC=C(Cl)C=C21)N1CCCC(C2=CC=CC=C2)C1CN1CCCC1,5.68
ClC1=CC=C2OCOC2=C1NC1=CC=NC(NC2=CC(N3CCOCC3)=CC(N3CCOCC3)=C2)=N1,6.05
CC1(C)CCC(NCCCCN(C[C@H]2CC3=CC=CC=C3CN2)[C@H]2CCCC3=CC=CN=C32)CC1,4.89
O=C(NC1=CN=C(C2=CC=NC=C2)C(C2=CC=CN=C2)=N1)C1CC1,5.3
COC(=O)C1C(CN2C=NC=N2)=NC(C)=C(C#N)C1C1=CC=C(F)C=C1Cl,6.1
COC(=O)CN1CC2=C(N=C(C)C(CN)=C2C2=CC=C(Cl)C=C2Cl)C1=O,4.77
COC1=CC=C2C(NCC3=NN=C4C=CC(C5=CC=CC=C5)=NN34)=CC=NC2=C1,4.3
COCCCC1=CC(CN(C(=O)[C@H]2CNCC[C@@]23OC(=O)C2=CC=CC=C23)C2CC2)=CC(OCCOC)=C1,5.14
NC(=O)NC/C=C\CN(C[C@H]1CC2=CC=CC=C2CN1)[C@H]1CCCC2=CC=CN=C21,4.72
CC(C)(C(N)=O)N1CCN(CC2=CC3=NC(C4=C(F)C=C(F)C5=C4C=CN5)=NC(N4CCOCC4)=C3S2)CC1,6.22
CCCCC1=CC=C(S(=O)(=O)NC2=CC=C3CCN(C)CCC3=C2)C=C1,4.92
CCCCOC1=CC=C(N2C=CN=C2)C=C1,6.46
CC1=C(C2=CC=CC=C2)N=C2C=CC(Br)=CC2=C1C(=O)NCC(C(=O)O)C1=CC=CC=C1Cl,4.87
CS(=O)(=O)CC1=CC(N2CCCC2)=NC(C2=CC=NC=C2)=N1,5.89
FC1=CC=C(C2=CC(NC3=CC=NC=C3)=C3C=CNC3=N2)C=C1F,5.7
CC1=CC=C(C(=O)NC[C@H]2CN(C3=CC=C(N4CCOCC4=O)C=C3)C(=O)O2)S1,5.01
C=CCN1CC(=O)N2[C@@H](CC3=CC=C(O)C=C3)C(=O)N(CC3=CC=CC4=C3N(C)C=C4C3=CC=C(C(=O)NC4=CC=CC(C(N)=O)=C4)C=C3)C[C@@H]2N1C(=O)NCC1=CC=CC=C1,4.8
